feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
0.5297,0.0645,-0.9393,-0.0705,-0.2134,0.5999,-1.2097,-0.3882,-1.9755,-0.3025,-0.3371,0.0566,1.4907,1.5308,1.2188,-0.6134,0.1487,0.4865,0.1704,-0.1441,-77.1253
0.0760,0.1694,-0.1112,0.5388,-1.0923,1.2361,-0.7355,0.1920,-1.4137,0.3933,0.1417,0.5583,-0.3164,1.0913,0.6091,2.3193,1.2131,-0.9207,-0.3091,-0.9039,-241.1055
-0.0831,0.0824,-0.3092,-1.5047,-0.1601,1.3405,0.3192,1.0760,-1.4576,-0.7960,-0.7520,-1.4063,0.6713,-1.8752,0.1150,-0.3191,0.2132,0.7601,0.0213,-0.7522,-223.3163
0.1220,1.1493,-0.0350,2.5601,0.6324,1.8124,-0.6270,-0.0744,-0.7032,-0.2475,-1.5702,-0.5756,0.9726,0.7078,-0.5625,-0.7271,0.6218,-0.0961,0.6207,1.7708,381.6202
0.9920,0.5365,0.0282,-0.1750,1.3902,0.4747,1.0859,-0.6095,-0.8985,-0.3052,-1.3118,-0.6681,0.5578,-0.0250,0.8178,-1.0651,0.0104,-0.7557,-0.1870,-0.0091,184.0406
-0.9222,0.4134,-0.7738,0.8696,0.2800,1.4960,-1.7787,0.4810,1.8768,0.7258,0.1292,0.7570,-1.1255,0.6544,-0.0556,0.1094,2.4458,1.3556,0.2239,-1.2447,65.8557
-2.8963,1.1082,0.6128,2.0884,0.8701,1.9140,-0.6238,0.2011,-1.0399,-0.0576,0.3650,0.9980,0.4957,-0.1907,0.2174,2.4034,0.1504,-0.1396,1.0507,-1.0534,126.9351
-0.5994,-0.4501,-1.0676,0.0052,-1.5341,0.5144,0.1203,1.1793,0.6228,0.1157,-0.7485,-1.5944,1.2777,0.7116,-1.1246,1.5512,0.3323,0.0470,0.0675,-0.1424,-125.6236
1.3920,-0.9896,-0.9825,0.9183,-0.6014,-0.9683,0.5501,0.2239,0.9408,0.5525,0.4405,0.1799,0.3198,0.1054,-1.3340,-0.0196,-1.5930,-1.5705,1.3641,-0.2246,-87.7661
0.8725,1.8466,-1.5255,0.6502,-1.2515,0.2433,-0.0456,0.5698,-1.0701,0.4568,1.1173,-1.2803,1.4438,-0.2412,0.3521,0.3427,-0.0822,-0.0992,0.4477,-0.6919,-31.1932
-0.9094,0.5869,-0.9905,1.4028,-1.0623,-0.5035,0.0997,0.8135,2.1905,-0.3221,1.5499,0.7910,0.4736,-1.5507,0.0686,-0.7833,-0.9194,-1.4019,-1.2309,-0.5663,179.4310
-0.1857,0.8125,-0.0720,-1.1063,-0.0358,-0.6451,0.3616,0.0918,1.3562,-0.2990,0.8219,-0.4792,1.5646,0.3614,1.5380,0.0870,-2.6197,-1.1962,-1.9876,1.0035,390.8281
-0.8572,-0.2235,0.4732,-1.0709,0.2141,-1.5148,-0.8468,0.0582,0.7140,0.1537,0.3853,0.6257,-1.2457,-0.4465,0.8564,-0.8839,0.1732,0.4825,-1.1430,-0.0728,-86.4471
1.7723,-0.6022,-0.9984,1.6613,-0.8780,1.2269,0.7661,1.4927,0.4688,-0.8032,0.3674,-0.0275,-0.8269,-0.1002,-0.2037,0.9136,-0.2265,-0.4571,-0.2711,0.3018,17.2377
-0.4589,-0.1726,0.6523,1.0787,0.4940,1.3801,1.4765,0.5436,0.8837,1.1727,-0.6716,1.6839,0.2607,-0.6256,0.3958,-0.0256,-0.5503,-0.0385,-0.3706,-1.5764,215.0755
-0.0242,-1.1790,-0.4646,-0.9037,0.8713,-0.2589,0.2833,0.5139,1.1877,-0.6777,1.9389,0.4037,-1.3460,0.5867,-0.4749,-1.0003,0.1264,0.3244,0.1796,0.2012,-15.9643
0.5608,-1.3777,0.5150,1.0831,0.9540,3.8527,0.5150,-0.4854,-0.9378,-0.2368,0.7590,0.3578,0.6514,0.5709,1.1356,-0.7728,-0.3153,1.0538,0.0819,0.5138,244.0012
1.0490,-1.5566,-1.2804,-0.7043,-0.5449,1.6965,-2.0819,-0.3636,0.6060,0.1503,1.1033,-0.5227,0.3991,0.2110,-0.0967,0.1142,-0.0376,-1.4085,-0.0569,1.7548,-41.0571
-0.5469,-0.7128,-0.2550,-0.0328,-0.3427,1.0915,-2.6510,0.9357,0.1064,1.7523,-0.7778,-0.5737,-0.3714,1.2461,-2.0734,-1.1106,-1.4075,-0.5434,1.2716,1.5040,-200.3905
0.5793,1.1966,-0.0273,0.1196,-1.3719,-0.8848,-0.4433,-0.6056,-0.1585,1.0399,-0.2093,-0.0153,-1.6136,-0.1729,1.7117,-0.6691,1.4712,-0.9731,1.8260,-0.9333,-192.0470
-0.3728,0.2247,-1.4184,1.7270,-0.5642,1.2626,-1.5257,1.0241,0.9326,1.2084,2.0061,0.7224,0.1846,-0.5519,2.5582,2.0615,1.5421,-0.3996,0.5925,-1.7608,68.6048
1.0725,-1.0448,2.0562,-0.3650,0.8605,-0.2768,-0.2213,0.4910,-1.9664,1.6073,0.2826,0.5383,-0.5831,0.3074,0.8157,-0.2487,-0.1671,-0.8392,0.7349,-1.1032,-304.6995
-0.3933,0.1911,-1.3599,0.0287,0.2494,2.1633,0.6455,-0.4464,0.0464,0.1866,0.2790,0.3687,1.5775,-0.3078,0.2192,0.6079,-0.0953,1.2785,0.1941,0.7463,346.8315
-0.1688,-0.9274,0.9752,0.0701,-0.6541,1.0010,0.1896,1.6123,0.2384,0.9529,1.3737,-0.1044,-1.8306,-2.7032,0.6779,-0.1374,0.5112,1.1619,1.3149,0.5011,-113.3055
-0.7472,0.7368,0.0670,-2.4242,0.2936,-0.5291,-1.5625,-0.7346,-0.2813,1.1647,-0.0356,-0.0214,-1.3566,0.7943,-1.2543,-1.6151,0.4664,0.8840,-0.8103,0.5159,-222.3830
-0.3493,0.3819,1.0303,-0.3216,0.7276,-0.1963,-0.2590,0.9163,0.4300,-1.9982,-0.0807,-0.3487,0.0519,-0.0716,-0.0372,0.0786,0.7326,2.0767,0.3465,0.2388,140.5394
1.1870,1.6334,0.3026,0.6387,1.6137,0.3288,-0.0641,0.5974,-1.1463,-1.2276,0.9641,1.1055,0.4535,0.3214,0.4219,1.1895,-0.2442,-1.1430,0.7012,-0.7543,205.2643
-1.2243,-0.5805,1.6699,-0.2090,-0.1340,0.4446,-1.1959,-0.8875,0.5886,0.4195,0.6483,-0.1385,0.0147,1.1966,-0.6098,-0.1209,-0.7849,-0.8505,-0.4375,0.3947,-55.8966
0.2856,0.5556,-0.1973,0.5211,0.6559,1.1338,-0.1949,-0.7729,0.0896,0.9475,-0.3885,-0.0549,0.1947,0.5936,-2.9404,1.1241,-0.0187,0.6452,0.4071,-0.1513,9.2608
-0.5602,-0.0209,1.2777,0.7473,0.8254,-0.2022,0.5471,0.3242,0.1173,-0.3103,0.0210,-0.8290,0.8135,-0.2177,1.0988,0.6820,1.3055,0.6104,-0.1301,-0.5916,163.2101
0.5821,-0.3722,1.8846,-0.2265,0.3232,-1.1196,-0.4888,-1.1699,1.0887,-0.5327,-1.5947,1.2210,-0.1476,0.1409,-1.7684,0.5136,-0.4660,-0.9594,-2.8723,1.5432,135.6109
0.0353,-0.1123,0.6142,-0.6997,-1.5152,-0.5758,-0.5305,3.0789,-0.2210,0.3113,-0.2490,1.9647,1.3669,-0.2751,-2.3019,0.5766,1.6450,0.2140,1.1196,0.7575,-72.8220
1.6690,-0.2457,-2.6969,-0.2596,-0.2689,0.6962,-0.2309,0.1981,-0.2727,-0.0241,0.0592,-0.3358,-1.1065,1.8490,1.1266,0.0139,2.5734,-1.5031,-0.1444,-0.0543,-106.1443
0.4715,1.5932,-0.9896,1.8820,-0.1580,1.0942,0.0557,-1.2900,-0.5112,0.0733,-1.6549,-0.7905,-0.4269,-1.6925,1.5296,0.8232,-1.0121,1.3454,-1.2951,-0.1258,164.1029
-1.8673,-0.4719,0.0643,0.6863,0.0456,0.6796,-0.7153,-0.6618,1.0890,0.1865,0.6339,2.3147,-0.6516,-0.7304,0.2165,-2.0251,2.1439,-1.6127,0.8524,-1.0777,7.0289
1.7553,0.6454,-0.9649,-0.2490,-0.2694,-1.7587,1.0584,-1.7034,1.3686,-1.3801,0.0741,2.0607,0.7175,-1.1833,-2.0392,1.6286,1.5024,0.9716,-0.0555,0.6861,266.1839
0.5367,0.9960,-1.4218,1.1857,0.4559,-0.2508,-0.3227,1.5285,-0.7568,0.2686,0.9278,-1.0469,2.1650,1.3282,0.5562,0.0570,-0.6435,0.7190,0.5078,1.5013,351.6266
1.1735,0.3997,-0.5286,0.1810,0.2408,0.0213,1.2383,1.2898,-0.6514,0.3812,-1.7608,0.6629,2.6017,0.3088,1.7022,0.7533,0.5655,-1.2968,0.6732,0.5864,408.1335
-0.1181,1.2970,-0.9993,-2.1219,-0.3918,0.5467,0.8406,0.9983,-0.0229,1.5213,-0.3223,1.3171,-0.9224,-0.2389,-0.3668,1.2172,1.6154,-0.6078,-0.4316,-0.5048,-28.7898
0.3571,-0.8085,0.9154,1.4779,-0.7021,0.5133,-0.5298,0.0051,-0.5018,0.2611,-1.4635,-0.2197,-0.3277,0.0971,0.9686,0.2961,-0.3921,-0.5183,-0.2346,0.3288,-79.5625
0.3098,-0.1853,0.0438,0.6338,-0.0883,2.2105,0.9639,0.5690,-0.1298,-0.5536,1.6391,-1.1876,2.5797,-0.5575,-1.3698,1.6777,-0.8037,0.4138,1.6284,-0.1470,154.4886
-0.3916,0.6216,0.3771,0.2691,-0.9057,-0.0514,1.1261,1.0561,-0.3696,3.1377,1.3744,0.3081,-0.6538,-1.7730,1.2619,-2.1357,-0.5957,-0.3432,0.2232,-0.0293,16.2066
-0.9555,-0.7564,-0.6466,-1.6064,0.0774,0.8816,1.6871,-0.8756,-1.4223,-0.1903,0.5389,-0.1279,-0.8613,-0.0080,1.4799,-1.0372,1.5231,0.2035,-1.3828,-1.0815,-227.7936
1.3749,-0.4827,0.1227,-0.6460,0.8831,-0.2524,0.3231,-0.4264,-0.9533,-0.7518,3.1931,-0.1829,-0.0778,-0.2918,-1.5632,0.2988,-0.1805,-0.7992,1.1484,1.6247,-10.5331
-1.0265,1.1950,-0.5589,0.1330,-1.4480,-0.0658,1.5655,0.2438,-1.5232,0.7084,-0.5021,1.0736,-2.1988,-0.5552,1.8812,-1.0212,0.4400,-0.7001,-0.5641,0.3772,-80.4671
0.1714,-1.4785,-0.4606,-0.1156,-0.6769,-1.7630,0.3436,0.3313,-0.7198,-0.3092,0.9313,0.7385,0.6117,0.3241,-0.3851,-0.8392,1.0310,-0.3011,0.9755,1.0571,-123.3619
1.6156,-0.0264,-0.8096,-1.2343,-0.4364,-0.0145,-0.4738,0.5609,0.2802,1.5986,-0.3700,0.9649,-0.1096,0.5463,0.0064,-0.2588,-0.0884,-0.5925,-0.2955,0.4241,-4.1452
-0.5994,-0.7591,0.3418,-2.1239,-1.3202,-0.5769,0.9504,-0.1145,0.1504,1.3539,-0.4692,-0.8397,1.8315,-0.8984,0.4919,-1.7131,1.1794,-0.5258,1.2378,1.8762,97.2362
1.1486,0.4288,0.1764,-1.0158,0.4366,0.0861,-0.8276,0.0208,0.6931,2.0575,-1.0097,0.2006,0.9039,-1.0721,-2.9214,0.6192,-2.3629,0.0617,-0.7280,-0.3670,-60.8144
-1.3796,0.9531,0.7251,-0.6267,1.1889,0.4319,-0.6415,-0.1631,0.5131,-0.8819,1.0702,-0.9717,0.7083,0.8004,0.7543,-0.0265,0.3514,0.8624,-0.7449,0.5162,288.9033
1.5327,0.6901,0.2241,-0.1088,1.4511,-0.7730,0.0977,2.1898,-0.4012,0.1833,-0.7673,0.5193,0.9593,0.0245,0.4980,0.8723,2.1532,0.4017,-0.8083,0.0126,253.5124
0.4892,0.4098,0.6726,0.6347,-2.1727,-0.9745,-0.1326,0.7095,-0.2413,0.1905,-0.0905,0.3506,0.8474,1.1071,-0.1204,0.3320,-0.5353,1.1097,-0.4355,1.8999,99.6726
0.0769,0.1687,-1.0904,-0.2249,0.9531,0.0188,-0.0986,-0.0332,0.4419,0.1086,0.3615,-0.1313,0.2871,0.7082,0.2332,-1.1437,-0.6124,-0.6500,-0.2081,1.4109,267.8427
